año,población,Huella Urbana,Área protegida,Area disponible,Viviendas (ocupadas),Viviendas (total)
1980,3753117,,,,,
1981,3876219,,,,,
1982,4000258,,,,,
1983,4125066,,,,,
1984,4250881,,,,,
1985,4376707,21210,"414,72",142390,,
1986,4503632,,,,,
1987,4629733,,,,,
1988,4755662,,,,,
1989,4882163,,,,,
1990,5009197,,,,,
1991,5135929,26120,"1666,74",137480,,
1992,5263300,,,,,
1993,5390988,,,,,
1994,5518215,,,,,
1995,5645134,,,,,
1996,5771303,,,,,
1997,5894809,31334,2820,132266,,
1998,6017421,,,,,
1999,6137769,,,,,
2000,6255614,31375,"2823,81",,,
2001,6370718,,,,,
2002,6484116,,,,,
2003,6593050,,,,,
2004,6695901,,,,,
2005,6790992,33506,"3015,54",130094,1.623.639,1.685.585
2006,6873842,,,,1.672.423,1.740.722
2007,6945389,,,,1.722.999,1.799.363
2008,7009432,,,,1.775.256,1.861.260
2009,7062402,,,,1.829.766,1.926.554
2010,7102952,35667,3210,127933,1.886.437,1.994.405
2011,7136774,,,,1.943.949,2.062.529
2012,7169750,,,,2.001.123,2.128.865
2013,7201046,,,,2.057.901,2.192.811
2014,7233450,,,,2.114.913,2.254.863
2015,7268171,,,,2.173.003,2.316.061
2016,7304512,36143,"3252,87",127457,2.235.179,2.379.951
2017,7352743,,,,2.302.699,2.448.287
2018,7428317,,,,2.385.069,2.531.552
2019,7615712,,,,2.485.644,2.633.586
2020,7760096,,,,2.580.652,2.729.436
2021,7839641,,,,2.662.414,2.811.251
2022,7889727,,,,2.738.231,2.886.949
2023,7923763,38623,"3772,52",124977,2.814.250,2.963.121
2024,7946067,,,,2.894.552,3.044.109